report_file,report_month,street_address,neighborhood,zip_code,county,docket_number,case_status,closing_date,close_code,monthly_mci_incr_per_room,name,claim_cost,allow_cost
february-2025-mci-closed-case-report.pdf,2025-02,720 W 172ND ST,NEW YORK,10032,MANHATTAN,HM430101OM,CLOSED,02/10/2025,DE,,HOLLOW METAL DOORS,61967.50,
february-2025-mci-closed-case-report.pdf,2025-02,720 W 172ND ST,NEW YORK,10032,MANHATTAN,HM430101OM,CLOSED,02/10/2025,DE,,COMMON AREA DOOR,1936.50,
february-2025-mci-closed-case-report.pdf,2025-02,720 W 172ND ST,NEW YORK,10032,MANHATTAN,HM430101OM,CLOSED,02/10/2025,DE,,ENTRANCE DOOR,38655.00,
february-2025-mci-closed-case-report.pdf,2025-02,720 W 172ND ST,NEW YORK,10032,MANHATTAN,HM430101OM,CLOSED,02/10/2025,DE,,HALLWAY WINDOWS,41249.00,
february-2025-mci-closed-case-report.pdf,2025-02,720 W 172ND ST,NEW YORK,10032,MANHATTAN,HM430101OM,CLOSED,02/10/2025,DE,,FLOORING/RELATED WRK,109595.00,
february-2025-mci-closed-case-report.pdf,2025-02,629 TO 639 W 173RD ST,NEW YORK,10032,MANHATTAN,HP410139OM,CLOSED,02/07/2025,DE,,REPLACE OIL TANK,170498.79,
february-2025-mci-closed-case-report.pdf,2025-02,310 CONVENT AVE,NEW YORK,10031,MANHATTAN,KW430027OM,CLOSED,02/19/2025,GP,2.57,EXT/FACADE RESTORATN,71100.00,71100.00
february-2025-mci-closed-case-report.pdf,2025-02,310 CONVENT AVE,NEW YORK,10031,MANHATTAN,KW430027OM,CLOSED,02/19/2025,GP,2.57,SIDEWALK SHED,26155.00,14804.20
february-2025-mci-closed-case-report.pdf,2025-02,101 COOPER ST,NEW YORK,10034,MANHATTAN,LO430037OM,CLOSED,02/03/2025,GP,0.95,TV/SECURITY SYSTEM,54966.08,36535.68
february-2025-mci-closed-case-report.pdf,2025-02,5 JANE ST,NEW YORK,10014,MANHATTAN,LU410013OM,CLOSED,02/21/2025,GR,19.63,REWIRING,67830.50,67830.50
february-2025-mci-closed-case-report.pdf,2025-02,611 W 177TH ST,NEW YORK,10033,MANHATTAN,MX410023OM,CLOSED,02/27/2025,DE,,ELEVATOR UPGRADING,296376.90,
february-2025-mci-closed-case-report.pdf,2025-02,224 E 89TH ST,NEW YORK,10128,MANHATTAN,MO430017OM,CLOSED,02/25/2025,GR,18.35,GAS REPIPING,116273.81,116273.81
february-2025-mci-closed-case-report.pdf,2025-02,86-91 TO 86-95 208TH ST,QUEENS VILLAGE,11427,QUEENS,MO110036OM,CLOSED,02/18/2025,GR,8.46,BOILER/BURNER,195500.00,195500.00
february-2025-mci-closed-case-report.pdf,2025-02,86-35 TO 86-39 208TH ST,QUEENS VILLAGE,11427,QUEENS,MQ110029OM,CLOSED,02/13/2025,GR,8.46,BOILER/BURNER,195500.00,195500.00
february-2025-mci-closed-case-report.pdf,2025-02,31-34 GREENPOINT AVE,LONG ISLAND CITY,11101,QUEENS,MW110014OM,CLOSED,02/24/2025,GR,18.88,NEW ROOF,65250.00,65250.00
february-2025-mci-closed-case-report.pdf,2025-02,35-15 75TH ST,JACKSON HEIGHTS,11372,QUEENS,MR110012OM,CLOSED,02/06/2025,GP,8.04,EXT/FACADE RESTORATN,223778.00,223099.60
february-2025-mci-closed-case-report.pdf,2025-02,98-51 65TH AVE,REGO PARK,11374,QUEENS,MU110014OM,CLOSED,02/06/2025,GR,10.35,ELEVATOR UPGRADING,174459.10,174459.10
july-2024-mci-closed-case-report.pdf,2024-07,59 OLD MAMARONECK RD,WHITE PLAINS,10605,WESTCHESTER,MN910004OM,CLOSED,07/05/2024,GP,7.42,ELEVATOR UPGRADING,390494.00,386250.00
july-2024-mci-closed-case-report.pdf,2024-07,2075 GRAND CONCOURSE,BRONX,10453,BRONX,MM610020OM,CLOSED,07/30/2024,GR,6.14,BOILER/BURNER,158000.00,158000.00
july-2024-mci-closed-case-report.pdf,2024-07,301 TO 315 E TREMONT AVE,BRONX,10457,BRONX,LV610012OM,CLOSED,07/03/2024,GP,22,PARAPETS,329700.00,327297.60
july-2024-mci-closed-case-report.pdf,2024-07,301 TO 315 E TREMONT AVE,BRONX,10457,BRONX,LV610012OM,CLOSED,07/03/2024,GP,22,LINTELS,158400.00,84150.00
july-2024-mci-closed-case-report.pdf,2024-07,301 TO 315 E TREMONT AVE,BRONX,10457,BRONX,LV610012OM,CLOSED,07/03/2024,GP,22,POINTNG & WATERPROOF,102750.00,102750.00
july-2024-mci-closed-case-report.pdf,2024-07,301 TO 315 E TREMONT AVE,BRONX,10457,BRONX,LV610012OM,CLOSED,07/03/2024,GP,22,MASONRY,19500.00,19500.00
july-2024-mci-closed-case-report.pdf,2024-07,301 TO 315 E TREMONT AVE,BRONX,10457,BRONX,LV610012OM,CLOSED,07/03/2024,GP,22,SWING STAGE SCAFFOLD,15750.00,15750.00
july-2024-mci-closed-case-report.pdf,2024-07,301 TO 315 E TREMONT AVE,BRONX,10457,BRONX,LV610012OM,CLOSED,07/03/2024,GP,22,WINDOW CAULKING,19000.00,19000.00
july-2024-mci-closed-case-report.pdf,2024-07,301 TO 315 E TREMONT AVE,BRONX,10457,BRONX,LV610012OM,CLOSED,07/03/2024,GP,22,SIDEWALK SHED,49500.00,49500.00
july-2024-mci-closed-case-report.pdf,2024-07,301 TO 315 E TREMONT AVE,BRONX,10457,BRONX,LV610012OM,CLOSED,07/03/2024,GP,22,PIPE SCAFFOLDING,58500.00,58500.00
july-2024-mci-closed-case-report.pdf,2024-07,301 TO 315 E TREMONT AVE,BRONX,10457,BRONX,LV610012OM,CLOSED,07/03/2024,GP,22,ASBESTOS REMOVAL,14900.00,14100.00
july-2024-mci-closed-case-report.pdf,2024-07,2325 UNIVERSITY AVE,BRONX,10468,BRONX,JM610012OM,CLOSED,07/02/2024,DE,,ELEVATOR UPGRADING,155000.00,
july-2024-mci-closed-case-report.pdf,2024-07,1056 SHERMAN AVE,BRONX,10456,BRONX,MM610006OM,CLOSED,07/24/2024,GP,9.67,EXT/FACADE RESTORATN,359000.00,358155.90
july-2024-mci-closed-case-report.pdf,2024-07,55 E MOSHOLU PKWY N,BRONX,10467,BRONX,MM610031OM,CLOSED,07/29/2024,GP,9.39,BOILER/BURNER,235730.00,232476.70
july-2024-mci-closed-case-report.pdf,2024-07,3510 BAINBRIDGE AVE,BRONX,10467,BRONX,LP630020OM,CLOSED,07/08/2024,DE,,ELEVATOR UPGRADING,250225.00,
july-2024-mci-closed-case-report.pdf,2024-07,3050 PERRY AVE,BRONX,10467,BRONX,LU610006OM,CLOSED,07/03/2024,DE,,GAS REPIPING,118525.49,
july-2024-mci-closed-case-report.pdf,2024-07,1720 UNIVERSITY AVE,BRONX,10453,BRONX,MN610006OM,CLOSED,07/17/2024,GP,5.94,EXT/FACADE RESTORATN,189500.00,188780.40
july-2024-mci-closed-case-report.pdf,2024-07,1720 UNIVERSITY AVE,BRONX,10453,BRONX,MN610006OM,CLOSED,07/17/2024,GP,5.94,SIDEWALK SHED,15700.00,15255.00
july-2024-mci-closed-case-report.pdf,2024-07,162 W 162ND ST,BRONX,10452,BRONX,MO610007OM,CLOSED,07/11/2024,GP,2.78,NEW ROOF,6096.00,6000.00
july-2024-mci-closed-case-report.pdf,2024-07,545 BERGEN ST,BROOKLYN,11217,KINGS,IS230023OM,CLOSED,07/02/2024,DE,,DOORS,19328.88,
july-2024-mci-closed-case-report.pdf,2024-07,545 BERGEN ST,BROOKLYN,11217,KINGS,IS230023OM,CLOSED,07/02/2024,DE,,VESTIBULE,17500.00,
july-2024-mci-closed-case-report.pdf,2024-07,215 21ST ST,BROOKLYN,11232,KINGS,MO210008OM,CLOSED,07/31/2024,GR,9.9,APARTMENT WINDOWS,34200.00,34200.00
july-2024-mci-closed-case-report.pdf,2024-07,7100 TO 7112 RIDGE BLVD,BROOKLYN,11209,KINGS,LV210006OM,CLOSED,07/26/2024,GP,12.85,EXT/FACADE RESTORATN,301000.00,270642.10
july-2024-mci-closed-case-report.pdf,2024-07,1762 TO 1764 65TH ST,BROOKLYN,11204,KINGS,MP210005OM,CLOSED,07/23/2024,GP,7.55,EXT/FACADE RESTORATN,49300.00,48965.00
july-2024-mci-closed-case-report.pdf,2024-07,1762 TO 1764 65TH ST,BROOKLYN,11204,KINGS,MP210005OM,CLOSED,07/23/2024,GP,7.55,SIDEWALK SHED,6500.00,6500.00
july-2024-mci-closed-case-report.pdf,2024-07,146 MONTAGUE ST,BROOKLYN,11201,KINGS,MP210006OM,CLOSED,07/18/2024,GR,1.79,SECURITY CAMERAS,5030.04,5030.04
july-2024-mci-closed-case-report.pdf,2024-07,146 MONTAGUE ST,BROOKLYN,11201,KINGS,MP210008OM,CLOSED,07/18/2024,GP,7.47,INTERCOM,21978.25,14800.00
july-2024-mci-closed-case-report.pdf,2024-07,165 E 35TH ST,NEW YORK,10016,MANHATTAN,MO410015OM,CLOSED,07/10/2024,GR,1.02,WATER TANK,46700.00,46700.00
july-2024-mci-closed-case-report.pdf,2024-07,502 W 143RD ST,NEW YORK,10031,MANHATTAN,MN410023OM,CLOSED,07/25/2024,GP,11.24,BOILER,127585.63,109430.63
july-2024-mci-closed-case-report.pdf,2024-07,502 W 143RD ST,NEW YORK,10031,MANHATTAN,MN410023OM,CLOSED,07/25/2024,GP,11.24,ELECTRICAL UPGRADE,84000.00,80000.00
july-2024-mci-closed-case-report.pdf,2024-07,70 TO 72 PINEHURST AVE,NEW YORK,10033,MANHATTAN,MM410015OM,CLOSED,07/19/2024,GP,4.71,BOILER,74700.00,74659.20
july-2024-mci-closed-case-report.pdf,2024-07,35 TO 41 FORT WASHINGTON AVE,NEW YORK,10032,MANHATTAN,MM430027OM,CLOSED,07/26/2024,GR,10.63,BOILER/BURNER,316726.00,316726.00
july-2024-mci-closed-case-report.pdf,2024-07,75 TO 77 CABRINI BLVD,NEW YORK,10033,MANHATTAN,LT410023OM,CLOSED,07/01/2024,GR,5.19,BOILER/BURNER,178990.00,178990.00
july-2024-mci-closed-case-report.pdf,2024-07,309 E 18TH ST,NEW YORK,10003,MANHATTAN,LW410022OM,CLOSED,07/31/2024,GP,16.85,HOT WATER HEATER,51215.40,41715.40
july-2024-mci-closed-case-report.pdf,2024-07,309 E 18TH ST,NEW YORK,10003,MANHATTAN,LW410022OM,CLOSED,07/31/2024,GP,16.85,BURNER,15300.00,0.00
july-2024-mci-closed-case-report.pdf,2024-07,309 E 18TH ST,NEW YORK,10003,MANHATTAN,LW410022OM,CLOSED,07/31/2024,GP,16.85,HEAT TIMER,13700.00,0.00
july-2024-mci-closed-case-report.pdf,2024-07,309 E 18TH ST,NEW YORK,10003,MANHATTAN,LW410022OM,CLOSED,07/31/2024,GP,16.85,MAIN ENTRANCE DOORS,2557.24,2557.24
july-2024-mci-closed-case-report.pdf,2024-07,309 E 18TH ST,NEW YORK,10003,MANHATTAN,LW410022OM,CLOSED,07/31/2024,GP,16.85,SECURITY CAMERAS,66648.22,60080.00
july-2024-mci-closed-case-report.pdf,2024-07,86-50 TO 86-54 208TH ST,QUEENS VILLAGE,11427,QUEENS,LW110020OM,CLOSED,07/10/2024,GR,8.46,BOILER/BURNER,195500.00,195500.00
july-2024-mci-closed-case-report.pdf,2024-07,86-80 TO 86-84 208TH ST,QUEENS VILLAGE,11427,QUEENS,LW110007OM,CLOSED,07/11/2024,GR,8.46,BOILER/BURNER,195500.00,195500.00
july-2024-mci-closed-case-report.pdf,2024-07,35-56 94TH ST,FLUSHING,11372,QUEENS,MN110025OM,CLOSED,07/30/2024,DE,,INTERCOM,18080.00,
july-2024-mci-closed-case-report.pdf,2024-07,48-05 46TH ST,WOODSIDE,11377,QUEENS,LU110009OM,CLOSED,07/23/2024,GP,34,EXT/FACADE RESTORATN,808794.50,658168.50
july-2024-mci-closed-case-report.pdf,2024-07,48-05 46TH ST,WOODSIDE,11377,QUEENS,LU110009OM,CLOSED,07/23/2024,GP,34,ARCHITECTURAL FEES,69338.98,65925.98
july-2024-mci-closed-case-report.pdf,2024-07,45-25 45TH ST,LONG ISLAND CITY,11104,QUEENS,MO110011OM,CLOSED,07/03/2024,DE,,RESURFACING-EXT WALL,18252.89,
july-2024-mci-closed-case-report.pdf,2024-07,30-60 29TH ST,ASTORIA,11102,QUEENS,MN130018OM,CLOSED,07/18/2024,GP,6.74,ELEVATOR UPGRADING,213000.00,211006.60
july-2024-mci-closed-case-report.pdf,2024-07,102-50 62ND RD,FOREST HILLS,11375,QUEENS,LM110034OM,CLOSED,07/22/2024,GP,10.25,EXT/FACADE RESTORATN,888206.21,599877.13
july-2024-mci-closed-case-report.pdf,2024-07,31-36 GREENPOINT AVE,LONG ISLAND CITY,11101,QUEENS,MM110028OM,CLOSED,07/24/2024,GR,21.58,ROOF,65250.00,65250.00
july-2024-mci-closed-case-report.pdf,2024-07,97-28 57TH AVE,CORONA,11368,QUEENS,HN110107OM,CLOSED,07/05/2024,GP,4.65,MAIN ROOF REPLACE'NT,553329.57,538367.20
july-2024-mci-closed-case-report.pdf,2024-07,66-07 99TH ST,REGO PARK,11374,QUEENS,JN130002OM,CLOSED,07/17/2024,GP,23.97,POINTING+FACADE,514811.85,449785.36
july-2024-mci-closed-case-report.pdf,2024-07,66-07 99TH ST,REGO PARK,11374,QUEENS,JN130002OM,CLOSED,07/17/2024,GP,23.97,ARCHITECTURAL FEES,35081.00,27581.00
july-2024-mci-closed-case-report.pdf,2024-07,98-39 65TH RD,REGO PARK,11374,QUEENS,MM110018OM,CLOSED,07/09/2024,GR,9.5,ELEVATOR UPGRADING,154593.80,154593.80
december-2024-mci-closed-case-report.pdf,2024-12,90 FAIRVIEW AVE,KINGSTON,12401,ULSTER,MW010006OM,CLOSED,12/17/2024,DE,,POOL PIPING,102177.00,
december-2024-mci-closed-case-report.pdf,2024-12,1360 PLIMPTON AVE,BRONX,10452,BRONX,MO610005OM,CLOSED,12/30/2024,GR,6.74,GAS REPIPING,148694.50,148694.50
december-2024-mci-closed-case-report.pdf,2024-12,3041 HOLLAND AVE,BRONX,10467,BRONX,MT610005OM,CLOSED,12/30/2024,DE,,NEW ROOF,251000.00,
december-2024-mci-closed-case-report.pdf,2024-12,1791 WALTON AVE,BRONX,10453,BRONX,MQ610005OM,CLOSED,12/17/2024,DE,,ROOF,82000.00,
december-2024-mci-closed-case-report.pdf,2024-12,217 E 7TH ST,BROOKLYN,11218,KINGS,MQ210010OM,CLOSED,12/17/2024,GP,3.73,BOILER/BURNER,188831.85,180383.85
december-2024-mci-closed-case-report.pdf,2024-12,6701 COLONIAL RD,BROOKLYN,11220,KINGS,MQ210021OM,CLOSED,12/10/2024,GP,10.79,EXT/FACADE RESTORATN,356560.00,342729.13
december-2024-mci-closed-case-report.pdf,2024-12,215 21ST ST,BROOKLYN,11232,KINGS,MS210006OM,CLOSED,12/05/2024,GR,6.08,BOILER,21000.00,21000.00
december-2024-mci-closed-case-report.pdf,2024-12,2285 OCEAN AVE,BROOKLYN,11229,KINGS,MR210003OM,CLOSED,12/30/2024,GP,10.7,ELEVATOR UPGRADING,460000.00,455697.33
december-2024-mci-closed-case-report.pdf,2024-12,593 PARK PL,BROOKLYN,11238,KINGS,MS210012OM,CLOSED,12/06/2024,GP,4.75,BOILER/BURNER,27625.00,27359.80
december-2024-mci-closed-case-report.pdf,2024-12,19 S OXFORD ST,BROOKLYN,11217,KINGS,MO210039OM,CLOSED,12/10/2024,GR,5.86,VIDEO INTERCOM SYST,13500.00,13500.00
december-2024-mci-closed-case-report.pdf,2024-12,380 AVENUE U,BROOKLYN,11223,KINGS,MN210026OM,CLOSED,12/04/2024,GP,5.63,BOILER,149000.00,145192.15
december-2024-mci-closed-case-report.pdf,2024-12,949 W END AVE,NEW YORK,10025,MANHATTAN,MT430008OM,CLOSED,12/13/2024,GP,7.5,ELEVATOR UPGRADING,272022.18,261043.00
december-2024-mci-closed-case-report.pdf,2024-12,191 CLAREMONT AVE,NEW YORK,10027,MANHATTAN,MT430006OM,CLOSED,12/05/2024,GR,10.56,ELEVATOR UPGRADING,236336.51,236336.51
december-2024-mci-closed-case-report.pdf,2024-12,316 W 93RD ST,NEW YORK,10025,MANHATTAN,LW430006OM,CLOSED,12/09/2024,GR,7.94,ELEVATOR UPGRADING,178599.90,178599.90
december-2024-mci-closed-case-report.pdf,2024-12,1225 PARK AVE,NEW YORK,10128,MANHATTAN,MT430011OM,CLOSED,12/10/2024,GP,2.42,WATER TANK,129655.27,128115.00
december-2024-mci-closed-case-report.pdf,2024-12,1225 PARK AVE,NEW YORK,10128,MANHATTAN,MT430011OM,CLOSED,12/10/2024,GP,2.42,AIR CONDITIONING,19450.00,19450.00
december-2024-mci-closed-case-report.pdf,2024-12,1225 PARK AVE,NEW YORK,10128,MANHATTAN,MT430011OM,CLOSED,12/10/2024,GP,2.42,WASTE COMPACTOR,16450.00,16450.00
december-2024-mci-closed-case-report.pdf,2024-12,410 E 65TH ST,NEW YORK,10065,MANHATTAN,LW430011OM,CLOSED,12/30/2024,GP,14.91,APARTMENT WINDOWS,1556928.14,1413255.00
december-2024-mci-closed-case-report.pdf,2024-12,410 E 65TH ST,NEW YORK,10065,MANHATTAN,LW430011OM,CLOSED,12/30/2024,GP,14.91,ARCHITECTUAL FEES,39602.50,0.00
december-2024-mci-closed-case-report.pdf,2024-12,200 W 58TH ST,NEW YORK,10019,MANHATTAN,MS430009OM,CLOSED,12/11/2024,GR,0.99,WATER TANK,44860.00,44860.00
december-2024-mci-closed-case-report.pdf,2024-12,46-01 TO 46-31 SKILLMAN AVE,SUNNYSIDE,11104,QUEENS,MX130009OM,CLOSED,12/31/2024,VO,,,,
december-2024-mci-closed-case-report.pdf,2024-12,47-34 44TH ST,FLUSHING,11377,QUEENS,MT110010OM,CLOSED,12/06/2024,GP,3.77,POINTNG & WATERPROOF,14000.00,12500.00
december-2024-mci-closed-case-report.pdf,2024-12,47-36 44TH ST,WOODSIDE,11377,QUEENS,MT110009OM,CLOSED,12/06/2024,GP,3.77,POINTNG & WATERPROOF,14000.00,12500.00
december-2024-mci-closed-case-report.pdf,2024-12,239 MAIN ST,STATEN ISLAND,10307,RICHMOND,MS310014OM,CLOSED,12/17/2024,GP,15.9,REWIRING,88000.00,87000.00
december-2024-mci-closed-case-report.pdf,2024-12,241 MAIN ST,STATEN ISLAND,10307,RICHMOND,MS310015OM,CLOSED,12/17/2024,GP,14.54,REWIRING,68000.00,67000.00
november-2024-mci-closed-case-report.pdf,2024-11,90 FAIRVIEW AVE,KINGSTON,12401,ULSTER,MV010004OM,CLOSED,11/22/2024,DE,,,,
november-2024-mci-closed-case-report.pdf,2024-11,421 WHITE PLAINS RD,EASTCHESTER,10709,WESTCHESTER,MP910015OM,CLOSED,11/13/2024,GR,5.46,BOILER,68800.00,68800.00
november-2024-mci-closed-case-report.pdf,2024-11,1478 BEACH AVE,BRONX,10460,BRONX,MP610019OM,CLOSED,11/25/2024,GP,8.79,GAS REPIPING,90088.00,87352.00
november-2024-mci-closed-case-report.pdf,2024-11,211 BEDFORD PARK BLVD,BRONX,10458,BRONX,MQ610011OM,CLOSED,11/22/2024,DE,,NEW ROOF,180000.00,
november-2024-mci-closed-case-report.pdf,2024-11,1405 COLLEGE AVE,BRONX,10456,BRONX,LV610022OM,CLOSED,11/05/2024,GP,5.74,EXT/FACADE RESTORATN,196139.50,191557.50
november-2024-mci-closed-case-report.pdf,2024-11,1405 COLLEGE AVE,BRONX,10456,BRONX,LV610022OM,CLOSED,11/05/2024,GP,5.74,ARCHITECT FEES,19350.00,19350.00
november-2024-mci-closed-case-report.pdf,2024-11,651 E 236TH ST,BRONX,10466,BRONX,MP610020OM,CLOSED,11/07/2024,GP,11.48,PARAPETS,141100.00,137240.80
november-2024-mci-closed-case-report.pdf,2024-11,642 E 233RD ST,BRONX,10466,BRONX,LU610028OM,CLOSED,11/01/2024,GP,9.72,ROOF,143000.00,114022.00
november-2024-mci-closed-case-report.pdf,2024-11,1240 WALTON AVE,BRONX,10452,BRONX,MS610026OM,CLOSED,11/04/2024,VO,,,,
november-2024-mci-closed-case-report.pdf,2024-11,215 MOUNT HOPE PL,BRONX,10457,BRONX,MM610008OM,CLOSED,11/20/2024,DE,,ROOF,250000.00,
november-2024-mci-closed-case-report.pdf,2024-11,576 E 187TH ST,BRONX,10458,BRONX,MM610033OM,CLOSED,11/13/2024,GP,0.86,BACKFLOW PREV DEVICE,7619.09,6980.09
november-2024-mci-closed-case-report.pdf,2024-11,576 E 187TH ST,BRONX,10458,BRONX,MM610033OM,CLOSED,11/13/2024,GP,0.86,INTERCOM,1728.00,1728.00
november-2024-mci-closed-case-report.pdf,2024-11,2114 AQUEDUCT AVE E,BRONX,10453,BRONX,MM610017OM,CLOSED,11/01/2024,GP,40.11,EXT/FACADE RESTORATN,1367350.00,1365635.28
november-2024-mci-closed-case-report.pdf,2024-11,437 1ST ST,BROOKLYN,11215,KINGS,MP210028OM,CLOSED,11/20/2024,GR,11.94,NEW ROOF,55000.00,55000.00
november-2024-mci-closed-case-report.pdf,2024-11,19 S OXFORD ST,BROOKLYN,11217,KINGS,MQ210013OM,CLOSED,11/12/2024,GP,7.71,BOILER,18000.00,17759.08
november-2024-mci-closed-case-report.pdf,2024-11,215 W 116TH ST,NEW YORK,10026,MANHATTAN,HM410092OM,CLOSED,11/07/2024,DE,,EXTERIOR RESTORATION,235691.50,
november-2024-mci-closed-case-report.pdf,2024-11,215 W 116TH ST,NEW YORK,10026,MANHATTAN,HM410092OM,CLOSED,11/07/2024,DE,,ARCHITECT FEES,8506.20,
november-2024-mci-closed-case-report.pdf,2024-11,215 W 116TH ST,NEW YORK,10026,MANHATTAN,HM410092OM,CLOSED,11/07/2024,DE,,METAL DOOR,2200.00,
november-2024-mci-closed-case-report.pdf,2024-11,215 W 116TH ST,NEW YORK,10026,MANHATTAN,HM410092OM,CLOSED,11/07/2024,DE,,ELEVATOR UPGRADING,234824.10,
november-2024-mci-closed-case-report.pdf,2024-11,215 W 116TH ST,NEW YORK,10026,MANHATTAN,HM410092OM,CLOSED,11/07/2024,DE,,GAS RE-PIPING,88291.50,
november-2024-mci-closed-case-report.pdf,2024-11,519 W 143RD ST,NEW YORK,10031,MANHATTAN,HO410050OM,CLOSED,11/15/2024,GP,11.29,ELEVATOR UPGRADING,197441.00,195135.50
november-2024-mci-closed-case-report.pdf,2024-11,113 WASHINGTON PL,NEW YORK,10014,MANHATTAN,MP410010OM,CLOSED,11/18/2024,GP,115.12,POINTNG & WATERPROOF,171198.23,169438.23
november-2024-mci-closed-case-report.pdf,2024-11,113 WASHINGTON PL,NEW YORK,10014,MANHATTAN,MP410010OM,CLOSED,11/18/2024,GP,115.12,NEW ROOF,95800.00,95800.00
november-2024-mci-closed-case-report.pdf,2024-11,118 W 131ST ST,NEW YORK,10027,MANHATTAN,MP410018OM,CLOSED,11/07/2024,GR,16.2,ROOF,28000.00,28000.00
